%     X       Y           lat            lon
%     m       m           deg            deg
   450000  -992000    79.96907337  -20.59957642
   451000  -992000    79.96528433  -20.55169375
   452000  -992000    79.96148834  -20.50384744
   453000  -992000    79.95768542  -20.45603751
   454000  -992000    79.95387556  -20.40826399
   455000  -992000    79.95005878  -20.36052690
   456000  -992000    79.94623509  -20.31282627
   457000  -992000    79.94240448  -20.26516212
   458000  -992000    79.93856698  -20.21753448
   459000  -992000    79.93472259  -20.16994337
   460000  -992000    79.93087131  -20.12238881
   461000  -992000    79.92701316  -20.07487082
   462000  -992000    79.92314814  -20.02738944
   463000  -992000    79.91927627  -19.97994468
   464000  -992000    79.91539754  -19.93253656
   465000  -992000    79.91151197  -19.88516511
   466000  -992000    79.90761957  -19.83783036
   467000  -992000    79.90372034  -19.79053231
   468000  -992000    79.89981429  -19.74327100
   469000  -992000    79.89590143  -19.69604644
   470000  -992000    79.89198177  -19.64885866
   471000  -992000    79.88805532  -19.60170767
   472000  -992000    79.88412208  -19.55459350
   473000  -992000    79.88018206  -19.50751617
   474000  -992000    79.87623527  -19.46047570
   475000  -992000    79.87228172  -19.41347211
   476000  -992000    79.86832142  -19.36650542
   477000  -992000    79.86435437  -19.31957565
   478000  -992000    79.86038059  -19.27268281
   479000  -992000    79.85640007  -19.22582693
   480000  -992000    79.85241284  -19.17900803
   481000  -992000    79.84841889  -19.13222612
   482000  -992000    79.84441824  -19.08548122
   483000  -992000    79.84041089  -19.03877335
   440000  -993000    79.99820223  -21.10178597
   441000  -993000    79.99448628  -21.05357376
   442000  -993000    79.99076331  -21.00539756
   443000  -993000    79.98703333  -20.95725739
   444000  -993000    79.98329633  -20.90915329
   445000  -993000    79.97955234  -20.86108528
   446000  -993000    79.97580135  -20.81305338
   447000  -993000    79.97204338  -20.76505762
   448000  -993000    79.96827843  -20.71709804
   449000  -993000    79.96450652  -20.66917465
   450000  -993000    79.96072764  -20.62128748
   451000  -993000    79.95694181  -20.57343656
   452000  -993000    79.95314904  -20.52562192
   453000  -993000    79.94934933  -20.47784357
   454000  -993000    79.94554270  -20.43010154
   455000  -993000    79.94172914  -20.38239587
   456000  -993000    79.93790867  -20.33472656
   457000  -993000    79.93408130  -20.28709366
   458000  -993000    79.93024704  -20.23949717
   459000  -993000    79.92640588  -20.19193713
   460000  -993000    79.92255785  -20.14441356
   461000  -993000    79.91870294  -20.09692648
   462000  -993000    79.91484117  -20.04947592
   463000  -993000    79.91097255  -20.00206190
   464000  -993000    79.90709707  -19.95468443
   465000  -993000    79.90321476  -19.90734355
   466000  -993000    79.89932562  -19.86003928
   467000  -993000    79.89542965  -19.81277163
   468000  -993000    79.89152687  -19.76554063
   469000  -993000    79.88761729  -19.71834631
   470000  -993000    79.88370090  -19.67118867
   471000  -993000    79.87977772  -19.62406775
   472000  -993000    79.87584776  -19.57698356
   473000  -993000    79.87191103  -19.52993613
   474000  -993000    79.86796753  -19.48292547
   475000  -993000    79.86401727  -19.43595161
   476000  -993000    79.86006026  -19.38901456
   477000  -993000    79.85609650  -19.34211434
   478000  -993000    79.85212602  -19.29525098
   479000  -993000    79.84814881  -19.24842450
   480000  -993000    79.84416488  -19.20163490
   481000  -993000    79.84017424  -19.15488222
   482000  -993000    79.83617689  -19.10816646
   483000  -993000    79.83217286  -19.06148766
   484000  -993000    79.82816214  -19.01484582
   438000  -994000    79.99722776  -21.21960580
   439000  -994000    79.99352905  -21.17135441
   440000  -994000    79.98982331  -21.12313888
   441000  -994000    79.98611053  -21.07495924
   442000  -994000    79.98239074  -21.02681553
   443000  -994000    79.97866393  -20.97870776
   444000  -994000    79.97493012  -20.93063598
   445000  -994000    79.97118931  -20.88260020
   446000  -994000    79.96744151  -20.83460045
   447000  -994000    79.96368673  -20.78663675
   448000  -994000    79.95992498  -20.73870915
   449000  -994000    79.95615626  -20.69081765
   450000  -994000    79.95238059  -20.64296229
   451000  -994000    79.94859796  -20.59514310
   452000  -994000    79.94480840  -20.54736009
   453000  -994000    79.94101191  -20.49961330
   454000  -994000    79.93720849  -20.45190275
   455000  -994000    79.93339815  -20.40422846
   456000  -994000    79.92958091  -20.35659046
   457000  -994000    79.92575676  -20.30898877
   458000  -994000    79.92192572  -20.26142342
   459000  -994000    79.91808780  -20.21389443
   460000  -994000    79.91424300  -20.16640183
   461000  -994000    79.91039134  -20.11894563
   462000  -994000    79.90653281  -20.07152586
   463000  -994000    79.90266743  -20.02414255
   464000  -994000    79.89879521  -19.97679572
   465000  -994000    79.89491615  -19.92948538
   466000  -994000    79.89103027  -19.88221157
   467000  -994000    79.88713756  -19.83497430
   468000  -994000    79.88323804  -19.78777360
   469000  -994000    79.87933172  -19.74060948
   470000  -994000    79.87541860  -19.69348197
   471000  -994000    79.87149870  -19.64639109
   472000  -994000    79.86757201  -19.59933686
   473000  -994000    79.86363856  -19.55231930
   474000  -994000    79.85969834  -19.50533844
   475000  -994000    79.85575136  -19.45839428
   476000  -994000    79.85179764  -19.41148686
   477000  -994000    79.84783718  -19.36461619
   478000  -994000    79.84386999  -19.31778228
   479000  -994000    79.83989607  -19.27098517
   480000  -994000    79.83591544  -19.22422487
   481000  -994000    79.83192810  -19.17750139
   482000  -994000    79.82793407  -19.13081476
   483000  -994000    79.82393334  -19.08416500
   484000  -994000    79.81992593  -19.03755212
   435000  -995000    79.99988562  -21.38572793
   436000  -995000    79.99621122  -21.33740208
   437000  -995000    79.99252976  -21.28911192
   438000  -995000    79.98884124  -21.24085750
   439000  -995000    79.98514569  -21.19263880
   440000  -995000    79.98144311  -21.14445589
   441000  -995000    79.97773350  -21.09630880
   442000  -995000    79.97401687  -21.04819755
   443000  -995000    79.97029324  -21.00012216
   444000  -995000    79.96656260  -20.95208266
   445000  -995000    79.96282497  -20.90407908
   446000  -995000    79.95908035  -20.85611145
   447000  -995000    79.95532876  -20.80817980
   448000  -995000    79.95157020  -20.76028414
   449000  -995000    79.94780468  -20.71242452
   450000  -995000    79.94403220  -20.66460094
   451000  -995000    79.94025278  -20.61681345
   452000  -995000    79.93646642  -20.56906206
   453000  -995000    79.93267314  -20.52134680
   454000  -995000    79.92887293  -20.47366769
   455000  -995000    79.92506581  -20.42602476
   456000  -995000    79.92125178  -20.37841804
   457000  -995000    79.91743086  -20.33084755
   458000  -995000    79.91360305  -20.28331331
   459000  -995000    79.90976835  -20.23581535
   460000  -995000    79.90592679  -20.18835368
   461000  -995000    79.90207836  -20.14092834
   462000  -995000    79.89822307  -20.09353935
   463000  -995000    79.89436093  -20.04618673
   464000  -995000    79.89049195  -19.99887051
   465000  -995000    79.88661614  -19.95159069
   466000  -995000    79.88273351  -19.90434732
   467000  -995000    79.87884406  -19.85714041
   468000  -995000    79.87494780  -19.80996998
   469000  -995000    79.87104474  -19.76283605
   470000  -995000    79.86713488  -19.71573864
   471000  -995000    79.86321825  -19.66867779
   472000  -995000    79.85929483  -19.62165349
   473000  -995000    79.85536465  -19.57466579
   474000  -995000    79.85142771  -19.52771470
   475000  -995000    79.84748401  -19.48080023
   476000  -995000    79.84353358  -19.43392241
   477000  -995000    79.83957640  -19.38708126
   478000  -995000    79.83561250  -19.34027679
   479000  -995000    79.83164187  -19.29350904
   480000  -995000    79.82766454  -19.24677801
   481000  -995000    79.82368050  -19.20008372
   482000  -995000    79.81968977  -19.15342620
   483000  -995000    79.81569234  -19.10680545
   484000  -995000    79.81168824  -19.06022151
   485000  -995000    79.80767747  -19.01367439
   433000  -996000    79.99880973  -21.50353785
   434000  -996000    79.99515260  -21.45517380
   435000  -996000    79.99148840  -21.40684530
   436000  -996000    79.98781714  -21.35855238
   437000  -996000    79.98413882  -21.31029507
   438000  -996000    79.98045346  -21.26207340
   439000  -996000    79.97676106  -21.21388740
   440000  -996000    79.97306164  -21.16573710
   441000  -996000    79.96935519  -21.11762252
   442000  -996000    79.96564172  -21.06954370
   443000  -996000    79.96192126  -21.02150066
   444000  -996000    79.95819379  -20.97349342
   445000  -996000    79.95445934  -20.92552202
   446000  -996000    79.95071790  -20.87758649
   447000  -996000    79.94696949  -20.82968684
   448000  -996000    79.94321411  -20.78182312
   449000  -996000    79.93945178  -20.73399533
   450000  -996000    79.93568250  -20.68620351
   451000  -996000    79.93190627  -20.63844769
   452000  -996000    79.92812312  -20.59072789
   453000  -996000    79.92433303  -20.54304414
   454000  -996000    79.92053603  -20.49539645
   455000  -996000    79.91673212  -20.44778486
   456000  -996000    79.91292131  -20.40020939
   457000  -996000    79.90910360  -20.35267007
   458000  -996000    79.90527901  -20.30516692
   459000  -996000    79.90144754  -20.25769996
   460000  -996000    79.89760920  -20.21026922
   461000  -996000    79.89376400  -20.16287471
   462000  -996000    79.88991195  -20.11551647
   463000  -996000    79.88605305  -20.06819452
   464000  -996000    79.88218731  -20.02090888
   465000  -996000    79.87831474  -19.97365957
   466000  -996000    79.87443536  -19.92644661
   467000  -996000    79.87054915  -19.87927003
   468000  -996000    79.86665615  -19.83212985
   469000  -996000    79.86275634  -19.78502609
   470000  -996000    79.85884975  -19.73795877
   471000  -996000    79.85493638  -19.69092791
   472000  -996000    79.85101623  -19.64393354
   473000  -996000    79.84708931  -19.59697567
   474000  -996000    79.84315564  -19.55005435
   475000  -996000    79.83921523  -19.50316953
   476000  -996000    79.83526806  -19.45632129
   477000  -996000    79.83131417  -19.40950964
   478000  -996000    79.82735355  -19.36273460
   479000  -996000    79.82338622  -19.31599618
   480000  -996000    79.81941217  -19.26929440
   481000  -996000    79.81543143  -19.22262928
   482000  -996000    79.81144399  -19.17600085
   483000  -996000    79.80744987  -19.12940911
   484000  -996000    79.80344907  -19.08285409
   485000  -996000    79.79944160  -19.03633581
   431000  -997000    79.99769178  -21.62132180
   432000  -997000    79.99405193  -21.57291998
   433000  -997000    79.99040500  -21.52455356
   434000  -997000    79.98675100  -21.47622259
   435000  -997000    79.98308993  -21.42792708
   436000  -997000    79.97942181  -21.37966707
   437000  -997000    79.97574663  -21.33144258
   438000  -997000    79.97206442  -21.28325365
   439000  -997000    79.96837517  -21.23510031
   440000  -997000    79.96467889  -21.18698258
   441000  -997000    79.96097560  -21.13890049
   442000  -997000    79.95726530  -21.09085407
   443000  -997000    79.95354799  -21.04284335
   444000  -997000    79.94982369  -20.99486835
   445000  -997000    79.94609241  -20.94692910
   446000  -997000    79.94235415  -20.89902563
   447000  -997000    79.93860891  -20.85115797
   448000  -997000    79.93485672  -20.80332614
   449000  -997000    79.93109757  -20.75553017
   450000  -997000    79.92733148  -20.70777009
   451000  -997000    79.92355844  -20.66004592
   452000  -997000    79.91977848  -20.61235768
   453000  -997000    79.91599159  -20.56470540
   454000  -997000    79.91219780  -20.51708912
   455000  -997000    79.90839709  -20.46950884
   456000  -997000    79.90458949  -20.42196460
   457000  -997000    79.90077499  -20.37445643
   458000  -997000    79.89695362  -20.32698434
   459000  -997000    79.89312537  -20.27954835
   460000  -997000    79.88929025  -20.23214851
   461000  -997000    79.88544828  -20.18478482
   462000  -997000    79.88159945  -20.13745731
   463000  -997000    79.87774378  -20.09016600
   464000  -997000    79.87388128  -20.04291092
   465000  -997000    79.87001195  -19.99569209
   466000  -997000    79.86613581  -19.94850952
   467000  -997000    79.86225285  -19.90136326
   468000  -997000    79.85836309  -19.85425330
   469000  -997000    79.85446654  -19.80717969
   470000  -997000    79.85056320  -19.76014243
   471000  -997000    79.84665309  -19.71314156
   472000  -997000    79.84273620  -19.66617708
   473000  -997000    79.83881255  -19.61924902
   474000  -997000    79.83488215  -19.57235741
   475000  -997000    79.83094500  -19.52550226
   476000  -997000    79.82700111  -19.47868359
   477000  -997000    79.82305050  -19.43190142
   478000  -997000    79.81909316  -19.38515578
   479000  -997000    79.81512911  -19.33844667
   480000  -997000    79.81115835  -19.29177413
   481000  -997000    79.80718089  -19.24513817
   482000  -997000    79.80319674  -19.19853880
   483000  -997000    79.79920592  -19.15197605
   484000  -997000    79.79520842  -19.10544991
   485000  -997000    79.79120425  -19.05896047
   486000  -997000    79.78719342  -19.01250768
   429000  -998000    79.99653178  -21.73907879
   430000  -998000    79.99290922  -21.69063963
   431000  -998000    79.98927958  -21.64223573
   432000  -998000    79.98564285  -21.59386712
   433000  -998000    79.98199904  -21.54553384
   434000  -998000    79.97834816  -21.49723591
   435000  -998000    79.97469022  -21.44897336
   436000  -998000    79.97102523  -21.40074623
   437000  -998000    79.96735319  -21.35255454
   438000  -998000    79.96367412  -21.30439832
   439000  -998000    79.95998801  -21.25627761
   440000  -998000    79.95629488  -21.20819242
   441000  -998000    79.95259474  -21.16014279
   442000  -998000    79.94888759  -21.11212874
   443000  -998000    79.94517344  -21.06415031
   444000  -998000    79.94145231  -21.01620752
   445000  -998000    79.93772419  -20.96830040
   446000  -998000    79.93398910  -20.92042897
   447000  -998000    79.93024704  -20.87259327
   448000  -998000    79.92649802  -20.82479331
   449000  -998000    79.92274205  -20.77702913
   450000  -998000    79.91897914  -20.72930075
   451000  -998000    79.91520929  -20.68160820
   452000  -998000    79.91143252  -20.63395150
   453000  -998000    79.90764883  -20.58633069
   454000  -998000    79.90385823  -20.53874577
   455000  -998000    79.90006072  -20.49119678
   456000  -998000    79.89625632  -20.44368375
   457000  -998000    79.89244504  -20.39620670
   458000  -998000    79.88862687  -20.34876564
   459000  -998000    79.88480183  -20.30136064
   460000  -998000    79.88096994  -20.25399164
   461000  -998000    79.87713118  -20.20665874
   462000  -998000    79.87328558  -20.15936193
   463000  -998000    79.86943314  -20.11210125
   464000  -998000    79.86557387  -20.06487671
   465000  -998000    79.86170778  -20.01768833
   466000  -998000    79.85783487  -19.97053614
   467000  -998000    79.85395515  -19.92342017
   468000  -998000    79.85006864  -19.87634042
   469000  -998000    79.84617534  -19.82929693
   470000  -998000    79.84227525  -19.78228972
   471000  -998000    79.83836838  -19.73531880
   472000  -998000    79.83445475  -19.68838420
   473000  -998000    79.83053437  -19.64148591
   474000  -998000    79.82660723  -19.59462403
   475000  -998000    79.82267334  -19.54779851
   476000  -998000    79.81873272  -19.50100938
   477000  -998000    79.81478538  -19.45425668
   478000  -998000    79.81083132  -19.40754042
   479000  -998000    79.80687054  -19.36086061
   480000  -998000    79.80290306  -19.31421728
   481000  -998000    79.79892889  -19.26761045
   482000  -998000    79.79494803  -19.22104013
   483000  -998000    79.79096050  -19.17450635
   484000  -998000    79.78696629  -19.12800913
   485000  -998000    79.78296542  -19.08154847
   486000  -998000    79.77895789  -19.03512440
   426000  -999000    79.99892787  -21.90531902
   427000  -999000    79.99532973  -21.85680785
